INT,REGION,STATE,COUNTY,CD,SAMPCELL,SAMPYTH,SAMPGEN,ACTAGE,AGECAT,UPELECT,DIRECT,PGDBAL,GENERIC,DTID,JBID,PBID,JCID,KHID,BSID,EWID,CBID,NPID,MMID,GOPCID,DEMCID,DJTJA,DJTIS1,DJTIS2,DJTIS3,DJTIS4,DJTIS5,DJTIS6,DT3W,ELVIEW,FORAGN,Q26,Q27,Q28,IHPC1,IHPC2,IHPC3,IHPC4,IHPC5,IHPC6,IHPC7,IHPC8,IHPC9,IHPC10,IHPC11,IHPC12,IHCC1,IHCC2,IHCC3,IHCC4,IHCC5,IHCC6,IHCC7,IHCC8,IHCC9,IHCC10,IHCC11,IHCC12,ECONW,CIVIL1,CIVIL2,CIVIL3,CIVIL4,CIVIL5,CIVIL6,CRES1,CRES2,CRES3,CRES4,CRES5,CRES6,CRES7,CRES8,CRES9,DIVSCL,EDUC,IDEOL,PARTYID,PARTY,PVOTE16,UNION,MARITAL,CHILD,DENOMFRQ,BORN,RACE,HISP,ECONCLA2,SOURCE,SEXEMP,USR,LIST,INTGEN,LENGTHWW,ZIP,PROJECT,CURRPROJ,STATECD,STATENAME,CDPAR,COMPCD,RRINTEREA,RRINTEREB,RRINTEREC,RRINTERED,RRINTEREE,RRINTEREF,RRINTEREG,RRINTEREH,RRINTEREI,RRINTEREJ,RRINTEREK,AGE,RAGE,RAGEFL,NRCCAGE1,NRCCAGE2,NRCCAGE3,NRCCAGE4,NRCCAGE5,NRCCAGE6,RDIRECT,RPGDBAL,RGENERIC,RDTID,RJBID,RPBID,RJCID,RKHID,RBSID,REWID,RCBID,RNPID,RMMID,RGOPCID,RDEMCID,RDJTJA,RDJTIS1,RDJTIS2,RDJTIS3,RDJTIS4,RDJTIS5,RDJTIS6,R26,R28,RCIVIL1,RCIVIL2,RCIVIL3,RCIVIL4,RCIVIL5,RCIVIL6,REDUC,RIDEOL,RRIDEOL,RPARTYID,RPARTY,RUNION,RMARITAL,RCHILD,RRACE,RHISP,RSOURCE,RSEXEMP,SEX,GENDER,DATE,R96,R96FL,RR96,RR96FL,RPTYID89,RPTYID90,RPTY90FL,RPTYID98,RPTYD981,R89,R90,R90FL,R98,R981,R99,PARTISAN,STATUS,ONE,turn1,turn2,turn3,turn4,turn5,turnp1,turnp2,turnp3,turnp4,turnp5,turns1,turns2,turns3,turns4,turns5,turnc1,turnc2,turnc3,turnc4,turnc5,turng1,turng2,turng3,turng4,turng5,TOGGLE,TIMESRUN,W1,TIMESRUN2,W2,RUSR,RG1,RG2,PREZ16,SEN20,USRACE,EMPSTAT,AGERACE,GENRACE,WHSENIOR,PARIDEOL,EDRAC,SEXED2,SEXEDWH,MARAC,GENMAR2,MOMDAD,BUNDY,SEXBORN,RACEVANG,IDEOVAN,CLARAC,JACNT,RDENOMFR,goal1,goal2,goal3,turn,goal4,NUMCASES,ACTUAL,pturn,diff
614,3,1,7,6,Y,Y,F,52, ,1,5,7,5,4,1,2,5,1,2,1,2,1,4,4,3,5,2,5,5,2,5,5,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,1,2,1,1,2,1,3,1,1,2,2,1,56,6,2,5,5,2,1,2,2,1,1,2,2,3,1,4,1,1,2,14.88333333,35035,16440,16440,106,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,2.2, ,1.3,1.4,2.1,3,3,3,2,1,1,3,1,1,1,1,1,2,2,2,3,1,3,3,1,3,3,1,1,1,1,1,1,1,1,4,1,2,3,3,1,2,2,2,2,1,2,1,1,20191009,2,1,2,1,3,4,3,3,5,5,6,5,3,5,3,4,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.087641437,0,1,1,3,5,1,1,6,3,4,3,2,2,2,1,3,2,7,3,2,1,2,2,5,3,1,31,42,12,23.7,47,1011,47.00248572,51.38847596,0
723,3,1,73,6,N,N,F,80, ,2,4,5,1,4,2,3,3,5,1,6,3,4,2,2,2,2,1,4,2,2,4,2,1,2,1,1,4,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,4,2,1,1,2,1,2,2,4,2,3,4,4,4,2,2,3,4,2,4,4,1,5,3,4,2,20,7,2,3,3,1,3,5,2,2,1,1,2,2,2,9,2,2,2,25.38333333,35210,16440,16440,106,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,11,4,3,4,2.2, , ,1.4, ,3,3,1,2,1,2,2,3,1,4,2,2,1,1,1,1,1,3,1,1,3,1,1,3,3,3,3,1,1,2,4,1,2,1,1,2,3,2,1,2,2,4,2,2,20191009,4,4,4,4,2,2,2,1,1,2,2,2,1,1,3,2,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.598710578,0,1,2,3,5,1,1,5,3,2,2,1,5,1,3,3,3,6,3,7,3,1,1,1,3,1,21,38,75,19.65,53,1011,52.99751428,90.32975031,0
749,3,1,73,6,Y,Y,F,24, ,1,5,7,5,4,3,2,3,1,2,1,2,2,3,4,2,5,1,5,2,2,5,5,1,2,2,1,3,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,4,1,1,1,1,2,2,2,1,3,2,1,50,6,3,5,6,2,3,1,2,7,2,6,2,3,6,6,4,1,2,17.18333333,35243,16440,16440,106,Alabama,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.1,1.2, , , ,3,3,3,2,2,1,2,1,1,1,1,1,2,2,1,3,1,3,1,1,3,3,1,1,1,1,1,3,1,1,4,2,3,3,3,2,1,2,4,2,5,3,3,2,20191009,5,5,3,3,4,3,3,4,4,6,5,5,4,4,2,5,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.531853341,0,1,3,3,5,1,1, ,2,7,7,2,2,2,3,3,4,7,3,6,4, , ,5,3,4,20,42,4,22.07,53,1011,52.99751428,71.4794488,0
636,3,1,125,7,Y,Y,F,40, ,1,2,1,2,2,4,3,5,3,3,3,4,4,2,2,4,1,1,2,1,1,2,1,3,2,1,1,2,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,1,1,2,1,2,1,1,1,4,2,2,2,1,4,1,2,1,2,3,3,2,2,5,2,75,5,2,3,2,1,3,2,1,1,2,1,2,2,7,8,4,1,2,17.93333333,35405,16440,16440,107,Alabama,2,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1.1,1.2,1.3,1.4,2.1,1,1,1,1,2,2,3,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,3,1,2,1,1,2,2,1,1,2,6,4,2,2,20191009,3,3,3,3,2,1,1,1,1,2,1,1,1,1,3,1,4,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.134685723,0,1,3,3,5,1,1,2,1,2,2,2,5,3,4,1,1,4,2,1,4, , ,1,1,1,28,38,75,28.93,53,1011,52.99751428,9.782555095,0
732,3,1,125,7,Y,Y,M,47, ,3,2,2,3,5,3,4,4,4,4,3,3,4,3,5,5,1,1,2,1,1,2,4,2,2,1,1,4,3,6,6,6,6,6,6,6,6,6,6,6,6,1,1,3,3,1,1,3,1,3,1,3,3,2,4,1,1,1,5,1,2,2,1,1,1,2,1,1,2,65,6,2,3,3,1,3,2,1,1,1,1,2,2,2,1,1,1,2,20.51666667,35490,16440,16440,107,Alabama,2,2,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,1.1,1.2,1.3,1.4,2.1,1,1,2,3,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,3,1,2,3,1,1,1,3,1,4,1,2,1,1,2,2,1,1,2,2,1,1,1,20191009,2,1,2,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.924461875,0,1,1,3,5,1,1,6,2,2,1,2,5,1,1,3,1,3,1,1,1,1,1,1,2,1,31,38,75,18.7,47,1011,47.00248572,95.34859175,0
735,3,1,73,7,Y,Y,F,45, ,1,5,1,1,1,4,6,3,2,4,4,4,4,4,2,4,1,1,1,1,1,1,2,2,2,1,1,1,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,2,1,2,1,2,2,1,2,2,7,7,2,3,2,1,3,2,2,8,1,1,1,2,1,6,2,1,2,19.16666667,35223,16440,16440,107,Alabama,2,2,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,1.1,1.2,1.3,1.4,2.1,3,1,1,1,2,4,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,4,1,2,1,1,2,2,2,3,1,1,3,3,2,20191009,6,5,4,3,2,2,1,1,6,2,2,1,1,6,3,1,4,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.077762942,0,1,2,3,5,1,1,5,2,6,6,2,5,2,3,3,2,7,3,2,3,2,2,3,1,4,31,38,9,24.76,53,1011,52.99751428,27.85476011,0
342,7,2,20,1,N,Y,M,34, ,1,1,2,3,1,4,6,6,2,4,3,4,4,4,2,3,1,1,1,1,1,2,4,1,2,1,1,2,5,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,1,1,2,1,2,2,2,2,4,4,4,5,1,4,1,2,1,1,1,3,1,1,2,2,20,5,3,3,5,3,3,2,1,2,2,1,2,3,5,1,2,2,2,19.16666667,99577,16440,16440,201,Alaska,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1.1,1.2,1.3, , ,1,1,2,1,2,4,4,1,2,2,2,2,2,1,2,1,1,1,1,1,1,3,1,3,3,3,3,1,3,1,3,2,3,1,3,2,2,1,1,2,4,1,1,1,20191007,1,1,1,1,1,1,1,1,1,5,5,5,4,4,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.956926667,0,1,2,7,5,2,2,5,2,1,1,2,2,3,2,1,1,3,1,1,2, , ,5,2,1,20,38,75,25.55,47,1011,47.00248572,20.58483646,0
591,7,2,20,1,N,N,M,81, ,1,2,1,1,2,4,4,4,4,4,4,4,4,2,2,4,2,2,1,1,2,1,2,3,2,5,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,2,4,1,2,1,1,1,2,2,1,2,2,70,7,1,3,2,1,3,2,2,1,1,1,2,1,2,4,2,2,1,18.13333333,99504,16440,16440,201,Alaska,1,2,0,0,0,0,0,0,0,0,0,0,0,11,4,3,4,2.2, , ,1.4, ,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,4,1,1,1,1,2,2,2,1,2,2,2,1,1,20191008,2,2,2,2,1,2,2,1,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,0.55350614,0,1,2,7,5,2,2,5,3,2,1,1,5,1,1,3,1,3,3,2,1,1,1,5,1,1,21,38,75,25.16,47,1011,47.00248572,24.14469827,0
746,7,2,20,1,Y,Y,F,40, ,2,5,4,2,3,4,5,5,3,4,3,5,4,5,1,3,4,4,4,4,4,5,5,1,2,1,1,3,2,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,5,1,5,5,1,75,3,4,4,2,1,1,4,1,5,2,1,2,4,6,10,1,2,2,25.7,99577,16440,16440,201,Alaska,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,2,1.1,1.2,1.3,1.4,2.1,3,2,1,2,2,3,3,2,2,2,3,2,3,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,3,3,2,1,1,3,1,1,2,5,4,2,2,20191009,3,3,3,3,6,5,5,2,2,2,1,1,1,1,2,3,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,2.751203237,0,1,1,7,5,2,2,6,1,2,2,2,4,3,4,1,3,6,2,3,4, , ,5,5,3,28,20,75,16.21,53,1011,52.99751428,99.30938306,0
571,6,4,17,1,N,N,F,70, ,1,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,6,2,5,2,7,7,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,50,5,6,4,8,6,3,2,2,7,2,1,2,4,2,9,1,2,2,17.41666667,85937,16440,16440,401,Arizona,2,2,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,2.2, , ,1.4, ,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,3,2,3,2,2,2,2,2,1,2,2,4,2,2,20191008,4,4,4,4,6,6,6,2,2,4,4,4,2,2,3,3,4,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1.451657006,0,1,1,6,5,2,1,6,3,2,2,1,3,3,4,1,1,4,3,2,4, , ,5,5,4,21,20,75,25.88,53,1011,52.99751428,19.94329473,0
